Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1384,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12SAL,F3_D12MAH,F3_D1_12SAL,F3_D1_12MAH,F3_D13SHASLIR,F3_D13SHASLIS,F3_D13SHHAMEH,F3_D13SHHAMES,F3_D14,F3_D15SHANBEH,F3_D15YEKSHAN,F3_D15DOSHANB,F3_D15SESHANB,F3_D15CHARSHA,F3_D15PANSHAN,F3_D15JOMEH,F3_D15JAM,F3_D1_16,F3_D2_16,F3_D17,F3_D18,F3_D19,F3_D20,F3_D21,F3_D1_21,F3_D22ROZ,F3_D22SAAT,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27SAL,F3_D27MAH,F3_D28,F3_D29,F3_D30,F3_D31,F3_D32,F3_D1_33,F3_D2_33,F3_D3_33,F3_D4_33,F3_D5_33,F3_D6_33,F3_D7_33,F3_D8_33,F3_D34SAL,F3_D34MAH,F3_D35,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D1_38SAL,F3_D1_38MAH,F3_D39,F3_D40,F3_D41,F3_D1_41,F3_D42,F3_D43,IW10_Yearly,ActivityStatus,NobatAmargiri,,,,,
1385,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12SAL,F3_D12MAH,F3_D1_12SAL,F3_D1_12MAH,F3_D13SHASLIR,F3_D13SHASLIS,F3_D13SHHAMEH,F3_D13SHHAMES,F3_D14,F3_D15SHANBEH,F3_D15YEKSHAN,F3_D15DOSHANB,F3_D15SESHANB,F3_D15CHARSHA,F3_D15PANSHAN,F3_D15JOMEH,F3_D15JAM,F3_D1_16,F3_D2_16,F3_D17,F3_D18,F3_D19,F3_D20,F3_D21,F3_D1_21,F3_D22ROZ,F3_D22SAAT,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27SAL,F3_D27MAH,F3_D28,F3_D29,F3_D30,F3_D31,F3_D32,F3_D1_33,F3_D2_33,F3_D3_33,F3_D4_33,F3_D5_33,F3_D6_33,F3_D7_33,F3_D8_33,F3_D34SAL,F3_D34MAH,F3_D35,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D1_38SAL,F3_D1_38MAH,F3_D39,F3_D40,F3_D41,F3_D1_41,F3_D42,F3_D43,IW10_Yearly,ActivityStatus,NobatAmargiri,,,,,
1386,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12SAL,F3_D12MAH,F3_D1_12SAL,F3_D1_12MAH,F3_D13SHASLIR,F3_D13SHASLIS,F3_D13SHHAMEH,F3_D13SHHAMES,F3_D14,F3_D15SHANBEH,F3_D15YEKSHAN,F3_D15DOSHANB,F3_D15SESHANB,F3_D15CHARSHA,F3_D15PANSHAN,F3_D15JOMEH,F3_D15JAM,F3_D1_16,F3_D2_16,F3_D17,F3_D18,F3_D19,F3_D20,F3_D21,F3_D1_21,F3_D22ROZ,F3_D22SAAT,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27SAL,F3_D27MAH,F3_D28,F3_D29,F3_D30,F3_D31,F3_D32,F3_D1_33,F3_D2_33,F3_D3_33,F3_D4_33,F3_D5_33,F3_D6_33,F3_D7_33,F3_D8_33,F3_D34SAL,F3_D34MAH,F3_D35,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D1_38SAL,F3_D1_38MAH,F3_D39,F3_D40,F3_D41,F3_D1_41,F3_D42,F3_D43,IW10_Yearly,ActivityStatus,NobatAmargiri,,,,,
1387,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2Kol_D21,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW10_Yearly,IW15_Yearly,ActivityStatus,NobatAmargiri
1388,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2Kol_D21,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW10_Yearly,IW15_Yearly,ActivityStatus,NobatAmargiri
1389,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2Kol_D21,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW10_Yearly,IW15_Yearly,ActivityStatus,NobatAmargiri
1390,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2Kol_D21,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW10_Yearly,IW15_Yearly,ActivityStatus,NobatAmargiri
1391,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2Kol_D21,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW10_Yearly,IW15_Yearly,ActivityStatus,NobatAmargiri
1392,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2Kol_D21,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW10_Yearly,IW15_Yearly,ActivityStatus,NobatAmargiri
1393,pkey,F2Kol_DJAYGOZIN,F2Kol_D20,F2Kol_D21,F2_D01,F2_D03,F2_D04,F2_D05,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW10_Yearly,IW15_Yearly,ActivityStatus,NobatAmargiri
