Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,677268,28.04,19.0,0,24.0,130
1385,655281,28.69,19.18,0,24.0,127
1386,634246,29.28,19.35,0,25.0,126
1387,608207,29.99,19.53,0,26.0,99
1388,602779,29.63,19.66,0,26.0,99
1389,587236,30.36,19.93,0,27.0,99
1390,580591,31.04,20.07,0,28.0,99
1391,560642,31.69,20.26,0,29.0,99
1392,693675,30.79,19.98,0,28.0,99
1393,699897,31.39,20.25,0,29.0,99
1394,701384,31.77,20.44,0,30.0,99
1395,695616,32.13,20.63,0,31.0,99
1396,695959,32.38,20.77,0,31.0,99
1397,709851,32.01,20.75,0,31.0,99
1398,709222,32.57,20.9,0,32.0,99
1399,699243,33.08,20.95,0,32.0,99
1400,689733,33.48,20.94,0,33.0,99
1401,674383,33.99,21.05,0,34.0,99
