Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205320,5.84,1.5,0,6.0,7
1385,195995,5.83,1.52,0,6.0,7
1386,188880,5.85,1.49,0,6.0,7
1387,171712,5.88,1.29,1,6.0,7
1388,172098,5.83,1.42,1,6.0,7
1389,162121,5.76,1.44,1,6.0,7
1390,157333,5.78,1.4,1,6.0,7
1391,154052,5.77,1.38,1,6.0,7
1392,193251,5.7,1.39,1,6.0,7
1393,190978,5.67,1.39,1,6.0,7
1394,194845,5.67,1.42,1,6.0,7
1395,193954,5.62,1.49,1,6.0,7
1396,199167,5.67,1.46,1,6.0,7
1397,205007,5.65,1.47,1,6.0,7
1398,208899,5.64,1.5,1,6.0,7
1399,195354,5.6,1.51,1,6.0,7
1400,191389,5.63,1.47,0,6.0,7
1401,187509,5.65,1.42,1,6.0,7
