Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205320,48.16,20.23,0,48.0,128
1385,195995,47.33,19.6,0,48.0,126
1386,188880,47.48,19.21,0,48.0,126
1387,171717,47.39,18.12,1,48.0,133
1388,172110,45.53,19.44,1,48.0,140
1389,162127,45.2,19.03,1,48.0,168
1390,157337,46.03,18.53,1,48.0,168
1391,154055,45.98,18.39,1,48.0,140
1392,193251,46.62,18.47,1,48.0,168
1393,190978,46.21,17.96,1,48.0,126
1394,194845,45.66,18.33,1,48.0,126
1395,193954,44.71,19.0,1,48.0,126
1396,199167,45.05,18.75,1,48.0,126
1397,205007,45.0,19.21,1,48.0,126
1398,208899,44.69,19.01,1,48.0,126
1399,195355,44.03,18.22,0,48.0,126
1400,191389,44.88,17.8,0,48.0,126
1401,187509,45.48,17.56,1,48.0,126
