Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,628673,5.86,3.44,1,6.0,12
1385,616724,5.86,3.43,1,6.0,12
1386,590300,5.85,3.42,1,6.0,12
1387,564538,5.85,3.41,1,6.0,12
1388,556817,5.85,3.42,1,6.0,12
1389,549399,5.87,3.42,1,6.0,12
1390,537940,5.86,3.41,1,6.0,12
1391,515107,5.89,3.42,1,6.0,12
1392,650741,5.89,3.42,1,6.0,12
1393,664417,5.84,3.41,1,6.0,12
1394,660108,5.84,3.4,1,6.0,12
1395,653391,5.85,3.39,1,6.0,12
1396,659442,5.87,3.4,1,6.0,12
1397,666770,5.88,3.4,1,6.0,12
1398,672321,5.9,3.4,1,6.0,12
1399,645197,5.88,3.4,1,6.0,12
1400,613295,5.86,3.38,1,6.0,12
1401,596057,5.9,3.37,1,6.0,12
