Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,657623,55.87,18.7,0,60.0,99
1385,642001,56.21,18.91,0,60.0,99
1386,621286,56.56,19.11,0,61.0,99
1387,595181,56.81,19.33,0,61.0,99
1388,584725,58.22,19.4,0,62.0,99
1389,574801,58.43,19.72,0,62.0,99
1390,567989,58.76,19.87,0,62.0,99
1391,546323,59.08,20.08,0,62.0,99
1392,689551,60.84,19.9,0,63.0,99
1393,693774,61.27,20.16,0,63.0,99
1394,692760,61.88,20.34,0,64.0,99
1395,685733,62.54,20.53,0,64.0,99
1396,688212,63.26,20.68,0,65.0,99
1397,698147,64.64,20.64,0,66.0,99
1398,698718,65.04,20.82,0,66.0,99
1399,684990,65.54,20.84,0,66.0,99
1400,672251,65.7,21.13,0,66.0,99
1401,657532,65.17,21.96,0,66.0,99
