Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,677268,1.44,0.5,1,1.0,2
1385,655281,2.45,1.06,1,3.0,4
1386,634246,2.51,1.12,1,3.0,4
1387,608213,2.52,1.12,1,3.0,4
1388,602863,1.44,0.5,1,1.0,2
1389,587282,2.45,1.06,1,3.0,4
1390,580688,2.52,1.11,1,3.0,4
1391,560724,2.51,1.11,1,3.0,4
1392,693770,2.51,1.12,1,3.0,4
1393,699952,2.51,1.12,1,3.0,4
1394,701431,2.51,1.12,1,3.0,4
1395,695690,2.52,1.11,1,3.0,4
1396,696032,2.51,1.11,1,3.0,4
1397,709939,2.51,1.12,1,3.0,4
1398,709288,2.51,1.11,1,3.0,4
1399,699282,2.53,1.11,1,3.0,4
1400,689774,2.52,1.11,1,3.0,4
1401,674459,2.53,1.11,1,3.0,4
