Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205306,5.99,1.19,0,6.0,7
1385,195989,6.03,1.2,0,6.0,7
1386,188877,6.07,1.18,0,6.0,7
1387,174399,6.08,1.01,1,6.0,7
1388,174328,6.1,1.09,1,6.0,7
1389,164680,6.04,1.17,0,6.0,7
1390,160327,5.98,1.22,0,6.0,7
1391,156465,5.95,1.22,0,6.0,7
1392,195455,5.88,1.16,0,6.0,7
1393,193368,5.88,1.18,0,6.0,7
1394,197159,5.91,1.13,0,6.0,7
1395,197303,5.9,1.17,0,6.0,7
1396,202049,5.93,1.15,0,6.0,7
1397,207977,5.93,1.17,0,6.0,7
1398,208801,5.94,1.16,0,6.0,7
1399,194695,5.94,1.14,0,6.0,7
1400,190675,5.94,1.12,0,6.0,7
1401,187185,5.93,1.1,0,6.0,8
