Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,677268,8414531613.92,8562165.61,8400100101,8414203003.0,8429205751
1385,655281,8514553572.12,8581886.31,8500100105,8514203542.0,8529205745
1386,634246,8614552006.99,8591659.65,8600100107,8614203243.0,8629205746
1387,608213,8714582359.14,8609924.97,8700100110,8714203647.0,8729205763
1388,602863,8814255993.59,8448614.31,8800100101,8814104109.0,8829205227
1389,587282,8914255631.1,8458633.59,8900100107,8914104228.0,8929205239
1390,580688,9014708122.2,8753009.84,9000100125,9014203233.0,9030207327
1391,560724,9114700187.15,8749392.16,9100100137,9114202900.0,9130207339
1392,693770,9214647783.27,8958446.89,9200100101,9214105901.0,9230202721
1393,699952,9314689082.63,8967160.2,9300100107,9314106409.5,9330202729
1394,701431,9414742466.34,8960092.66,9400100125,9414107042.0,9430202751
1395,695690,9514752329.43,8934984.86,9500100137,9514200548.0,9530202760
1396,696032,9614795001.41,8945838.6,9600100152,9614201862.0,9630202775
1397,709939,9714796063.42,8941803.25,9700100101,9714209417.0,9730217927
1398,709288,9814891745.64,8963184.65,9800100107,9814211132.0,9830217939
1399,699282,9914901872.19,8962735.08,9900100125,9914213139.0,9930217951
1400,689774,14874724.17,8962545.76,100137,14213055.0,30217963
1401,674459,114820012.57,8936775.7,100100152,114210470.0,130217974
