Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,24982,2.05,2.7,0,1.0,70
1385,23555,1.95,2.59,0,1.0,16
1386,21405,1.85,2.53,0,0.0,50
1387,20181,1.86,2.51,0,1.0,11
1388,20729,1.95,2.48,0,1.0,11
1389,21208,1.89,2.46,0,1.0,11
1390,20292,1.91,2.48,0,1.0,11
1391,19184,1.88,2.47,0,1.0,11
1392,21133,2.01,2.63,0,1.0,11
1393,22183,2.07,2.61,0,1.0,11
1394,23829,2.15,2.62,0,1.0,11
1395,26123,2.15,2.66,0,1.0,11
1396,25708,2.13,2.66,0,1.0,11
1397,26081,2.05,2.59,0,1.0,11
1398,23689,2.14,2.66,0,1.0,11
1399,21226,2.21,2.66,0,1.0,11
1400,19492,1.89,2.49,0,1.0,11
1401,18123,1.91,2.47,0,1.0,11
