Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,24982,1.48,2.1,0,1.0,30
1385,23556,1.52,2.09,0,1.0,30
1386,21405,1.57,2.11,0,1.0,30
1387,20182,1.49,1.98,0,1.0,30
1388,20729,1.34,1.89,0,1.0,22
1389,21208,1.4,1.97,0,1.0,30
1390,20292,1.44,2.03,0,1.0,20
1391,19185,1.36,1.87,0,1.0,20
1392,21140,1.52,1.92,0,1.0,25
1393,22185,1.51,1.99,0,1.0,30
1394,23828,1.4,1.92,0,1.0,28
1395,26126,1.43,2.0,0,1.0,24
1396,25708,1.45,2.0,0,1.0,30
1397,26081,1.41,1.99,0,1.0,40
1398,23689,1.39,1.93,0,1.0,25
1399,21226,1.34,1.93,0,1.0,25
1400,19492,1.49,2.03,0,1.0,21
1401,18123,1.51,2.12,0,1.0,22
