Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,80774,6319.76,2421.24,111,7126.0,9333
1385,80615,6274.8,2444.95,111,7122.0,9333
1386,79137,6267.28,2433.6,111,6122.0,9333
1387,11169,5605.93,3502.78,0,7134.0,9333
1388,12564,6048.4,3424.15,0,7221.0,9333
1389,12340,5976.38,3475.03,111,7221.0,9333
1390,11509,5886.45,3510.31,0,7212.0,9333
1391,10910,5843.98,3484.4,0,7142.0,9333
1392,10868,6075.75,3323.89,0,7212.0,9333
1393,11647,6169.84,3323.33,0,7221.0,9333
1394,12922,6261.37,3268.05,0,7221.0,9333
1395,14652,6237.96,3235.31,111,7218.0,9333
1396,14619,6160.87,3105.56,0,7212.0,9629
1397,15418,6141.61,3077.1,0,7132.0,9629
1398,13615,5960.84,3176.95,0,7126.0,9629
1399,12886,6222.48,3154.83,0,7221.0,9629
1400,11195,6200.52,3199.78,410,7212.0,9629
1401,10353,6179.75,3256.1,0,7212.0,9629
