Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,80780,3135.76,2913.17,111,1724.0,9900
1385,80622,3120.68,2926.0,111,1724.0,9900
1386,79141,3091.16,2934.7,111,1724.0,9900
1387,11169,5015.46,2397.69,0,4540.0,9900
1388,12564,4750.55,2434.69,0,4521.0,9500
1389,12340,4789.58,2432.19,111,4521.0,9900
1390,11509,4811.35,2414.92,0,4521.0,9500
1391,10910,4815.75,2419.25,0,4521.0,9800
1392,10868,47161.62,26258.65,0,42900.0,97000
1393,11647,46423.85,26515.12,0,42100.0,97000
1394,12922,45659.87,26123.28,0,41000.0,97000
1395,14652,45689.31,26239.98,0,42100.0,99000
1396,14619,45822.47,26287.55,0,43210.0,97000
1397,15418,45689.29,26483.72,0,43300.0,97000
1398,13615,46937.53,27054.0,0,43300.0,97000
1399,12886,46419.92,26460.02,0,43300.0,97000
1400,11196,46730.24,26567.98,0,43300.0,97000
1401,10360,34276.75,25645.97,0,41000.0,97000
