Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,204725,3.26,4.44,0,0.0,60
1385,195704,3.17,4.33,0,0.0,70
1386,188654,3.2,4.34,0,0.0,65
1387,173713,2.85,4.19,0,0.0,24
1388,174505,3.02,4.22,0,0.0,24
1389,164662,2.88,4.16,0,0.0,24
1390,160037,2.8,4.15,0,0.0,24
1391,156356,2.78,4.15,0,0.0,24
1392,192082,2.53,4.12,0,0.0,24
1393,192251,2.53,4.09,0,0.0,24
1394,195883,2.56,4.08,0,0.0,24
1395,196550,2.52,4.04,0,0.0,24
1396,201272,2.59,4.07,0,0.0,24
1397,206978,2.63,4.13,0,0.0,24
1398,208821,2.66,4.08,0,0.0,24
1399,195355,2.4,3.93,0,0.0,24
1400,191388,2.37,3.94,0,0.0,24
1401,187509,2.36,3.98,0,0.0,24
