Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205190,7.15,3.8,0,8.0,75
1385,195923,7.17,3.63,0,8.0,60
1386,188833,7.09,3.68,0,8.0,75
1387,173960,7.18,3.56,0,8.0,24
1388,174627,6.77,3.73,0,8.0,24
1389,164834,6.82,3.7,0,8.0,24
1390,160318,6.82,3.72,0,8.0,24
1391,156456,7.0,3.58,0,8.0,24
1392,195152,7.22,3.59,0,8.0,24
1393,193238,6.65,3.92,0,8.0,24
1394,197061,7.09,3.59,0,8.0,24
1395,197256,6.57,3.9,0,8.0,24
1396,201987,6.92,3.67,0,8.0,24
1397,207878,6.64,3.88,0,8.0,24
1398,209019,6.71,3.74,0,8.0,24
1399,195355,6.71,3.61,0,8.0,24
1400,191389,6.97,3.48,0,8.0,24
1401,187509,6.54,3.79,0,8.0,24
