Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,204962,6.65,4.14,0,8.0,75
1385,195920,7.3,3.56,0,8.0,60
1386,188840,7.27,3.58,0,8.0,80
1387,173968,7.39,3.43,0,8.0,24
1388,174620,6.92,3.66,0,8.0,24
1389,164830,6.96,3.64,0,8.0,24
1390,160312,6.89,3.73,0,8.0,24
1391,156451,6.88,3.72,0,8.0,24
1392,195241,7.22,3.64,0,8.0,24
1393,193260,7.39,3.45,0,8.0,24
1394,197022,6.91,3.78,0,8.0,24
1395,197247,6.73,3.86,0,8.0,24
1396,201990,7.05,3.65,0,8.0,24
1397,207872,6.8,3.86,0,8.0,24
1398,209019,7.15,3.49,0,8.0,24
1399,195355,6.74,3.67,0,8.0,24
1400,191389,7.2,3.39,0,8.0,24
1401,187509,7.03,3.57,0,8.0,24
