Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205170,6.88,3.94,0,8.0,75
1385,195924,6.98,3.73,0,8.0,89
1386,188846,7.2,3.56,0,8.0,88
1387,173957,7.13,3.54,0,8.0,24
1388,174630,6.69,3.71,0,8.0,24
1389,164830,6.68,3.73,0,8.0,24
1390,160284,6.83,3.64,0,8.0,24
1391,156434,6.7,3.72,0,8.0,24
1392,195109,7.11,3.59,0,8.0,24
1393,193243,7.06,3.57,0,8.0,24
1394,197053,6.98,3.6,0,8.0,24
1395,197260,6.42,3.92,0,8.0,24
1396,201967,6.66,3.77,0,8.0,24
1397,207868,6.78,3.72,0,8.0,24
1398,209014,6.87,3.58,0,8.0,24
1399,195355,6.56,3.64,0,8.0,24
1400,191389,6.84,3.51,0,8.0,24
1401,187509,6.54,3.74,0,8.0,24
