Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205131,6.57,4.08,0,8.0,90
1385,195901,6.6,3.93,0,8.0,80
1386,188830,6.66,3.9,0,8.0,88
1387,173916,6.53,3.88,0,8.0,24
1388,174608,5.98,4.05,0,8.0,24
1389,164810,6.04,4.02,0,8.0,24
1390,160249,6.11,4.02,0,8.0,24
1391,156431,6.07,4.04,0,8.0,24
1392,194399,5.74,4.27,0,8.0,24
1393,193059,6.08,4.11,0,8.0,24
1394,196861,5.94,4.14,0,8.0,24
1395,197127,5.63,4.23,0,8.0,24
1396,201854,5.54,4.25,0,7.0,24
1397,207681,5.54,4.27,0,7.0,24
1398,208994,5.93,4.08,0,8.0,24
1399,195355,5.68,4.05,0,8.0,24
1400,191389,5.63,4.12,0,8.0,24
1401,187509,6.1,3.98,0,8.0,24
