Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205191,7.07,3.84,0,8.0,75
1385,195896,6.88,3.81,0,8.0,65
1386,188842,6.87,3.82,0,8.0,88
1387,173939,6.87,3.74,0,8.0,24
1388,174621,6.6,3.79,0,8.0,24
1389,164830,6.58,3.81,0,8.0,24
1390,160285,6.55,3.84,0,8.0,24
1391,156440,6.82,3.67,0,8.0,24
1392,194973,6.82,3.82,0,8.0,24
1393,193178,6.21,4.09,0,8.0,24
1394,197030,6.73,3.79,0,8.0,24
1395,197244,6.63,3.83,0,8.0,24
1396,201960,6.73,3.77,0,8.0,24
1397,207865,6.68,3.82,0,8.0,24
1398,209009,6.56,3.82,0,8.0,24
1399,195355,6.22,3.89,0,8.0,24
1400,191389,6.36,3.87,0,8.0,24
1401,187509,6.47,3.84,0,8.0,24
