Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205185,7.02,3.89,0,8.0,75
1385,195913,7.04,3.72,0,8.0,81
1386,188845,7.09,3.67,0,8.0,75
1387,173944,7.01,3.68,0,8.0,24
1388,174624,6.55,3.86,0,8.0,24
1389,164827,6.29,3.98,0,8.0,24
1390,160293,6.71,3.78,0,8.0,24
1391,156452,6.76,3.73,0,8.0,24
1392,194905,6.53,4.02,0,8.0,24
1393,193215,6.66,3.89,0,8.0,24
1394,197037,6.83,3.75,0,8.0,24
1395,197237,6.33,4.02,0,8.0,24
1396,201961,6.66,3.84,0,8.0,24
1397,207787,5.94,4.21,0,8.0,24
1398,209011,6.38,3.93,0,8.0,24
1399,195355,6.27,3.86,0,8.0,24
1400,191389,6.66,3.7,0,8.0,24
1401,187509,6.58,3.79,0,8.0,24
