Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205320,5.75,1.57,0,6.0,7
1385,195995,5.79,1.53,0,6.0,7
1386,188880,5.82,1.51,0,6.0,7
1387,171699,5.85,1.3,1,6.0,7
1388,172001,5.79,1.44,1,6.0,7
1389,162093,5.73,1.46,1,6.0,7
1390,157324,5.75,1.41,1,6.0,7
1391,154043,5.74,1.4,1,6.0,7
1392,193251,5.68,1.39,1,6.0,7
1393,190964,5.65,1.4,1,6.0,7
1394,194830,5.64,1.43,1,6.0,7
1395,193943,5.6,1.5,1,6.0,7
1396,199156,5.63,1.47,1,6.0,7
1397,204991,5.62,1.49,1,6.0,7
1398,208899,5.61,1.51,1,6.0,7
1399,195354,5.57,1.52,1,6.0,7
1400,191389,5.59,1.48,0,6.0,7
1401,187509,5.62,1.43,1,6.0,7
