Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205260,1.09,2.35,0,0.0,70
1385,195972,0.96,2.23,0,0.0,80
1386,188880,0.88,2.08,0,0.0,11
1387,174523,0.96,2.17,0,0.0,11
1388,174641,0.88,2.03,0,0.0,11
1389,164857,0.86,2.04,0,0.0,11
1390,160347,0.82,2.0,0,0.0,11
1391,156462,0.78,1.98,0,0.0,11
1392,195432,1.06,2.32,0,0.0,11
1393,193368,1.22,2.44,0,0.0,11
1394,197148,1.2,2.44,0,0.0,11
1395,197292,1.12,2.36,0,0.0,11
1396,202046,1.1,2.34,0,0.0,11
1397,208018,0.98,2.18,0,0.0,11
1398,209031,1.08,2.28,0,0.0,11
1399,195354,1.06,2.28,0,0.0,11
1400,191380,1.02,2.25,0,0.0,11
1401,187509,1.2,2.43,0,0.0,11
