Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205271,11.69,12.56,0,7.0,80
1385,195977,11.84,12.38,0,7.0,80
1386,188879,12.17,12.48,0,8.0,80
1387,174524,12.21,12.36,0,8.0,80
1388,174639,12.43,12.76,0,8.0,85
1389,164857,12.45,12.72,0,8.0,90
1390,160347,12.7,12.61,0,8.0,80
1391,156462,12.86,12.62,0,9.0,80
1392,195454,11.93,11.56,0,8.0,80
1393,193368,12.02,11.67,0,8.0,80
1394,197157,12.19,11.74,0,9.0,83
1395,197307,12.32,11.77,0,9.0,80
1396,202047,12.23,11.78,0,9.0,80
1397,208018,12.01,11.64,0,8.0,82
1398,209031,11.92,11.48,0,8.0,95
1399,195354,12.38,11.29,0,10.0,81
1400,191380,12.59,11.28,0,10.0,78
1401,187509,12.26,11.17,0,10.0,75
