Year,,Self-employed,Private_Sector_Employee,Public_Sector_Employee,Unpaid_Family_Worker,Employer,Private_Sector_Unpaid_Apprentice,Private_Sector_Paid_Apprentice,Public_Sector_Paid_Apprentice,Cooperative_Sector_Employee,Public_Sector_Unpaid_Apprentice,Unpaid_Apprentice,Paid_Apprentice
1384,69.68,9.93,8.75,5.36,4.61,1.5,,,,0.06,,0.07,0.05
1385,70.09,10.35,8.94,5.12,3.97,1.38,,,,0.05,,0.06,0.04
1386,70.22,10.38,9.07,5.06,3.81,1.33,,,,0.04,,0.05,0.04
1387,71.31,10.3,9.12,4.76,3.22,1.13,0.05,0.04,0.01,0.04,0.02,,
1388,71.03,10.84,8.72,4.21,4.09,0.97,0.06,0.02,0.01,0.03,0.02,,
1389,71.93,10.51,9.05,3.95,3.53,0.86,0.05,0.03,0.04,0.04,0.02,,
1390,72.39,10.34,9.33,3.98,2.98,0.87,0.02,0.02,0.02,0.03,0.01,,
1391,72.1,10.58,9.5,3.96,2.94,0.81,0.03,0.02,0.02,0.03,0.01,,
1392,71.83,11.26,9.4,4.31,2.21,0.88,0.02,0.02,0.02,0.03,0.01,,
1393,72.37,11.01,9.54,4.14,2.05,0.8,0.02,0.01,0.02,0.03,0.01,,
1394,71.89,11.3,9.56,4.15,2.2,0.8,0.03,0.02,0.02,0.03,0.01,,
1395,71.64,11.72,9.24,4.19,2.3,0.8,0.04,0.02,0.02,0.03,0.01,,
1396,70.97,11.75,9.66,4.18,2.47,0.84,0.04,0.02,0.03,0.02,0.01,,
1397,70.7,12.18,9.58,4.17,2.36,0.88,0.04,0.03,0.03,0.02,0.01,,
1398,70.53,12.07,10.12,3.92,2.37,0.86,0.04,0.03,0.02,0.02,0.02,,
1399,72.06,11.3,10.04,3.74,2.04,0.71,0.03,0.03,0.02,0.01,0.01,,
1400,72.25,11.1,10.21,3.82,1.77,0.75,0.03,0.02,0.02,0.02,0.01,,
1401,72.2,11.24,10.32,3.76,1.55,0.81,0.03,0.03,0.02,0.02,0.01,,
