Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205255,6221.37,2249.13,111,6121.0,9333
1385,195911,6268.94,2240.74,111,6121.0,9333
1386,188822,6289.7,2250.98,111,6121.0,9333
1387,174524,6327.91,2288.75,0,6121.0,9333
1388,174650,6424.48,2158.67,0,6121.0,9333
1389,164857,6466.12,2194.42,111,6121.0,9333
1390,160351,6463.75,2226.76,0,6121.0,9333
1391,156466,6470.76,2231.2,0,6121.0,9333
1392,195459,6344.31,2290.48,0,6121.0,9333
1393,193368,6370.7,2297.32,0,6121.0,9333
1394,197160,6342.3,2295.42,0,6121.0,9333
1395,197309,6299.33,2277.21,0,6121.0,9333
1396,202051,6219.64,2277.84,0,6121.0,9629
1397,208048,6171.31,2297.96,0,6121.0,9629
1398,209033,6223.3,2288.71,0,6121.0,9629
1399,195354,6269.78,2306.26,0,6121.0,9629
1400,191380,6260.57,2343.59,0,6121.0,9629
1401,187509,6227.35,2383.17,0,6121.0,9629
