Year,,1-4,5-9,50+,10-19,20-49
1384,69.71,20.28,2.97,3.52,1.96,1.57
1385,70.12,20.37,2.67,3.44,1.89,1.51
1386,70.24,20.06,2.94,3.38,1.9,1.48
1387,76.1,19.39,2.12,0.98,0.83,0.57
1388,75.28,20.76,1.99,0.82,0.69,0.46
1389,75.95,20.24,1.82,0.81,0.7,0.47
1390,76.4,19.65,1.85,0.9,0.73,0.48
1391,76.09,19.96,1.92,0.82,0.74,0.47
1392,76.39,19.46,2.04,0.78,0.84,0.5
1393,76.77,19.01,2.02,0.82,0.87,0.51
1394,76.23,19.51,2.1,0.77,0.89,0.5
1395,76.01,19.94,1.97,0.73,0.88,0.47
1396,75.31,20.41,2.09,0.79,0.89,0.52
1397,75.05,20.76,2.02,0.81,0.89,0.47
1398,74.64,20.96,2.13,0.82,0.94,0.5
1399,75.94,19.8,2.02,0.84,0.89,0.49
1400,76.19,19.49,2.03,0.88,0.91,0.49
1401,76.09,19.51,2.0,0.97,0.93,0.51
