Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205275,3639.72,2941.93,111,4521.0,9900
1385,195939,3692.8,2907.41,111,4521.0,9900
1386,188827,3719.56,2890.79,111,4521.0,9900
1387,174524,3804.88,2861.71,0,4521.0,9900
1388,174650,3475.6,2931.06,0,4521.0,9900
1389,164857,3575.58,2911.89,0,4521.0,9900
1390,160351,3654.38,2885.78,0,4521.0,9900
1391,156466,3625.33,2887.66,0,4521.0,9900
1392,195459,36411.57,29443.06,0,41000.0,99000
1393,193368,36745.02,29470.92,0,41000.0,99000
1394,197161,36700.27,29595.22,0,41000.0,99000
1395,197309,36611.96,29767.71,0,41000.0,99000
1396,202051,36575.01,29829.39,0,41000.0,99000
1397,208048,36854.19,29909.17,0,41000.0,99000
1398,209033,36454.37,29796.16,0,41000.0,97000
1399,195354,36322.23,29562.55,0,41000.0,99000
1400,191380,37296.39,29402.14,0,41000.0,97000
1401,187509,36248.29,28796.88,0,41000.0,99000
