Year,Married,Bachelor,,Widowed,Divorced
1384,44.44,36.62,15.43,3.11,0.4
1385,45.32,35.99,14.98,3.33,0.38
1386,45.92,35.37,14.78,3.52,0.4
1387,46.46,35.09,14.31,3.7,0.45
1388,46.84,33.53,15.63,3.59,0.41
1389,47.48,32.86,15.29,3.88,0.49
1390,48.34,32.07,14.94,4.12,0.52
1391,49.14,31.35,14.65,4.28,0.58
1392,51.25,27.53,16.8,3.81,0.61
1393,51.5,27.12,16.66,4.02,0.7
1394,51.7,26.69,16.78,4.1,0.74
1395,51.79,26.48,16.71,4.19,0.82
1396,51.89,26.17,16.76,4.28,0.9
1397,52.21,25.14,17.61,4.06,0.97
1398,52.05,25.6,17.1,4.22,1.04
1399,51.88,26.1,16.56,4.4,1.06
1400,51.78,26.62,15.96,4.54,1.11
1401,51.95,26.79,15.39,4.68,1.19
