Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,0,,,,,
1385,0,,,,,
1386,0,,,,,
1387,608213,2.9345739074962225,1.7891370333705796,1,3.0,23
1388,602863,2.8876726553130645,1.7406597663492385,1,3.0,29
1389,587282,2.867887999291652,1.733506067559349,1,3.0,21
1390,580688,2.789138056925578,1.6610147485248044,1,2.0,21
1391,560724,2.74289668357338,1.6239668213071077,1,2.0,19
1392,693770,2.5656341438805366,1.458089311168139,1,2.0,15
1393,699952,2.542921514618145,1.447656825326578,1,2.0,19
1394,701431,2.526121599986314,1.4357126253548531,1,2.0,16
1395,695690,2.506987307565151,1.4109433042179342,1,2.0,17
1396,696032,2.5017556664061424,1.4101388878228993,1,2.0,17
1397,709939,2.4638116795950076,1.3739518708785698,1,2.0,21
1398,709288,2.4700262798750297,1.3812461455084417,1,2.0,18
1399,699282,2.4610243077899905,1.3687654905304039,1,2.0,16
1400,689774,2.4511811114944897,1.364737253478703,1,2.0,19
1401,674459,2.4326089502845987,1.3570784737309038,1,2.0,47
