Year,,Add_Hours_to_Current,Combination,Additional_Job,New_Job_With_More_Hours
1384,93.71,3.15,0.94,1.34,0.86
1385,94.75,2.62,0.85,1.06,0.72
1386,95.13,2.38,0.92,0.9,0.67
1387,95.14,2.37,0.92,0.9,0.67
1388,93.85,3.04,1.21,1.05,0.86
1389,93.81,3.04,1.43,0.93,0.79
1390,94.94,2.55,1.17,0.75,0.59
1391,95.12,2.38,1.21,0.77,0.52
1392,95.1,2.32,1.02,0.87,0.69
1393,95.18,2.34,1.02,0.83,0.63
1394,94.97,2.44,1.02,0.91,0.66
1395,94.55,2.67,1.13,0.98,0.67
1396,94.56,2.79,1.09,0.92,0.65
1397,94.17,3.0,1.22,0.95,0.66
1398,94.42,2.9,1.21,0.83,0.63
1399,94.21,3.34,1.21,0.74,0.49
1400,94.87,2.91,1.04,0.68,0.49
1401,95.22,2.56,1.04,0.71,0.48
