Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1387,20180,6.09,0.56,1,6.0,7
1388,20728,6.11,0.64,1,6.0,7
1389,21208,6.08,0.59,1,6.0,7
1390,20293,6.07,0.54,1,6.0,7
1391,19184,6.05,0.56,1,6.0,7
1392,21142,5.97,0.54,1,6.0,7
1393,22181,5.9,0.68,1,6.0,7
1394,23831,5.88,0.69,1,6.0,7
1395,26127,5.89,0.68,1,6.0,7
1396,25709,5.91,0.66,1,6.0,7
1397,26084,5.94,0.63,1,6.0,7
1398,23640,5.94,0.61,0,6.0,7
1399,21126,5.98,0.55,0,6.0,7
1400,19402,5.98,0.53,0,6.0,7
1401,18056,5.95,0.56,0,6.0,7
