Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1387,20180,7.99,1.43,1,8.0,24
1388,20730,7.9,1.39,1,8.0,24
1389,21208,7.87,1.3,1,8.0,24
1390,20293,7.88,1.25,1,8.0,24
1391,19184,7.84,1.26,1,8.0,24
1392,21142,7.89,1.44,1,8.0,24
1393,22181,7.82,1.4,1,8.0,24
1394,23831,7.88,1.32,1,8.0,24
1395,26127,7.87,1.34,2,8.0,24
1396,25709,7.89,1.31,1,8.0,24
1397,26091,7.88,1.33,1,8.0,24
1398,23639,7.81,1.16,0,8.0,24
1399,21133,7.89,1.06,0,8.0,20
1400,19406,7.87,1.04,0,8.0,24
1401,18066,7.88,1.04,0,8.0,18
