Year,,Tehran,Khuzestan,Kermanshah,Alborz,East_Azerbaijan,Isfahan,West_Azerbaijan,Razavi_Khorasan,Kurdistan,Gilan,Sistan_and_Baluchestan,Mazandaran,Fars,Hamadan,Zanjan,Kohgiluyeh_and_Boyer-Ahmad,Bushehr,Lorestan,Kerman,Qom,Qazvin,Hormozgan,Markazi,Chaharmahal_and_Bakhtiari,South_Khorasan,Ardabil,Yazd,North_Khorasan,Semnan,Ilam,Golestan
1384,99.56,0.11,0.03,0.02,,0.02,0.03,0.01,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01
1385,99.52,0.13,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01
1386,99.55,0.13,0.03,0.02,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0
1387,99.58,0.11,0.04,0.02,,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01
1388,99.63,0.09,0.02,0.02,,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1389,99.55,0.12,0.02,0.03,,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01
1390,99.58,0.13,0.03,0.02,,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01
1391,99.6,0.11,0.02,0.02,,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0
1392,99.63,0.1,0.03,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01
1393,99.66,0.08,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1394,99.66,0.07,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
1395,99.66,0.08,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01
1396,99.64,0.09,0.03,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
1397,99.67,0.08,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1398,99.65,0.11,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1399,99.78,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,99.84,0.04,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1401,99.85,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
