Year,,Seasonal,Holidays_or_leave,No_Customers,Other,Illness,Personal_Issues,Weather,Workplace_Closed,Shift_Work,Temporary_Layoff,Education_or_Training
1384,98.05,0.8,0.34,0.18,0.17,0.15,0.15,0.04,0.07,0.02,0.02,0.02
1385,98.46,0.71,0.29,0.13,0.12,0.1,0.09,0.04,0.04,0.01,0.01,0.01
1386,98.55,0.64,0.27,0.1,0.12,0.09,0.08,0.09,0.03,0.01,0.01,0.01
1387,98.77,0.54,0.21,0.13,0.1,0.08,0.07,0.04,0.03,0.01,0.01,0.01
1388,98.57,0.58,0.24,0.16,0.14,0.1,0.09,0.05,0.04,0.01,0.01,0.01
1389,98.58,0.58,0.26,0.14,0.12,0.11,0.08,0.08,0.05,0.01,0.0,0.0
1390,98.5,0.67,0.21,0.14,0.1,0.09,0.08,0.12,0.05,0.02,0.01,0.01
1391,98.68,0.55,0.24,0.15,0.12,0.1,0.07,0.04,0.04,0.01,0.01,0.0
1392,98.56,0.63,0.24,0.16,0.09,0.08,0.07,0.11,0.03,0.02,0.01,0.0
1393,98.76,0.5,0.22,0.17,0.09,0.09,0.07,0.02,0.04,0.02,0.01,0.0
1394,98.85,0.48,0.21,0.17,0.08,0.07,0.06,0.03,0.03,0.01,0.0,0.0
1395,98.41,0.72,0.23,0.24,0.11,0.09,0.06,0.08,0.04,0.01,0.01,0.0
1396,98.63,0.55,0.24,0.2,0.13,0.09,0.07,0.03,0.03,0.01,0.01,0.0
1397,98.6,0.54,0.24,0.22,0.12,0.09,0.06,0.06,0.04,0.02,0.01,0.0
1398,98.94,0.4,0.17,0.16,0.09,0.09,0.06,0.05,0.03,0.01,0.0,0.0
1399,98.52,0.35,0.19,0.13,0.62,0.08,0.04,0.03,0.02,0.01,0.0,0.0
1400,98.81,0.43,0.16,0.14,0.26,0.08,0.04,0.03,0.03,0.01,0.0,0.0
1401,99.03,0.38,0.18,0.14,0.08,0.07,0.04,0.04,0.02,0.01,0.0,0.0
