Year,,Increase_Income,Use_Skills,Lose_Current_Job,Increase_Hours,Other,Reduce_Hours
1384,97.66,2.05,0.11,0.1,0.02,0.05,0.02
1385,98.23,1.54,0.08,0.08,0.02,0.03,0.01
1386,98.2,1.59,0.08,0.08,0.01,0.03,0.01
1387,98.07,1.74,0.09,0.06,0.01,0.02,0.01
1388,97.73,2.07,0.08,0.07,0.02,0.03,0.01
1389,97.8,1.96,0.07,0.1,0.02,0.04,0.01
1390,98.07,1.71,0.08,0.08,0.02,0.03,0.01
1391,98.06,1.72,0.08,0.07,0.02,0.03,0.01
1392,97.91,1.8,0.12,0.1,0.04,0.03,0.01
1393,98.0,1.75,0.11,0.08,0.03,0.02,0.01
1394,97.89,1.82,0.14,0.1,0.03,0.02,0.01
1395,97.63,2.06,0.15,0.1,0.03,0.02,0.01
1396,97.65,2.03,0.16,0.11,0.03,0.02,0.01
1397,97.44,2.24,0.16,0.11,0.02,0.02,0.01
1398,97.6,2.11,0.16,0.09,0.02,0.01,0.01
1399,97.88,1.87,0.15,0.07,0.02,0.01,0.0
1400,98.03,1.74,0.13,0.07,0.02,0.01,0.0
1401,98.08,1.7,0.12,0.07,0.02,0.01,0.0
