Year,,Temporary,Low_Income,Military_Service_Ended,Other,Layoff,Seasonal,Workplace_Closure,Family,Illness,Relocation,Retirement,Education_or_Training,Migration,Old_Age
1384,88.07,0.75,0.72,0.59,4.27,0.35,0.98,0.21,1.83,,0.03,1.57,0.47,0.16,
1385,87.7,0.81,0.66,0.61,4.42,0.35,0.98,0.19,2.01,,0.02,1.74,0.38,0.14,
1386,87.52,0.76,0.57,0.6,4.53,0.29,1.0,0.17,2.06,,0.02,1.95,0.38,0.16,
1387,98.16,0.45,0.23,0.4,0.2,0.17,0.13,0.08,0.06,0.04,0.01,0.03,0.02,0.01,0.0
1388,97.92,0.61,0.23,0.39,0.2,0.19,0.19,0.1,0.06,0.05,0.01,0.02,0.02,0.01,0.0
1389,97.9,0.61,0.25,0.41,0.21,0.18,0.17,0.09,0.05,0.05,0.01,0.02,0.02,0.01,0.0
1390,98.02,0.54,0.24,0.41,0.19,0.17,0.18,0.09,0.05,0.05,0.01,0.02,0.02,0.0,0.0
1391,98.05,0.52,0.24,0.4,0.19,0.18,0.17,0.09,0.05,0.05,0.01,0.01,0.02,0.01,0.0
1392,98.44,0.45,0.22,0.25,0.13,0.16,0.14,0.08,0.05,0.03,0.01,0.01,0.02,0.0,0.0
1393,98.34,0.51,0.22,0.27,0.14,0.15,0.15,0.1,0.05,0.03,0.01,0.01,0.01,0.01,0.0
1394,98.16,0.58,0.26,0.27,0.17,0.19,0.16,0.1,0.05,0.03,0.01,0.01,0.01,0.0,0.0
1395,97.9,0.62,0.28,0.3,0.23,0.24,0.2,0.13,0.05,0.04,0.01,0.01,0.01,0.01,0.0
1396,97.9,0.6,0.31,0.29,0.23,0.25,0.17,0.13,0.05,0.04,0.01,0.01,0.01,0.01,0.0
1397,97.83,0.6,0.31,0.28,0.26,0.29,0.15,0.15,0.06,0.04,0.01,0.01,0.01,0.01,0.0
1398,98.08,0.5,0.28,0.29,0.21,0.25,0.16,0.12,0.05,0.03,0.01,0.01,0.01,0.01,0.0
1399,98.16,0.48,0.21,0.25,0.38,0.23,0.13,0.08,0.03,0.03,0.01,0.01,0.0,0.0,0.0
1400,98.38,0.46,0.21,0.23,0.24,0.18,0.13,0.08,0.03,0.03,0.01,0.01,0.0,0.0,0.0
1401,98.48,0.43,0.24,0.21,0.18,0.15,0.15,0.07,0.04,0.03,0.01,0.01,0.0,0.0,0.0
