Year,,Holidays_or_leave,Recession,Other,Unable_to_Find_Hours,Personal_Issues,Starting_or_Ending_Work,Illness,Workplace_Closed,Education_or_Training
1384,93.83,2.35,0.83,0.76,0.38,0.94,0.35,0.39,0.11,0.07
1385,95.85,1.5,0.61,0.51,0.37,0.61,0.19,0.29,0.04,0.03
1386,95.65,1.91,0.53,0.48,0.33,0.59,0.18,0.25,0.04,0.03
1387,96.73,0.87,0.6,0.47,0.34,0.54,0.14,0.23,0.04,0.04
1388,95.99,0.77,0.72,0.66,0.51,0.72,0.22,0.3,0.06,0.05
1389,96.09,1.07,0.61,0.71,0.45,0.61,0.13,0.25,0.05,0.04
1390,95.25,1.77,0.59,0.76,0.53,0.61,0.16,0.23,0.07,0.03
1391,95.8,1.34,0.66,0.69,0.48,0.56,0.14,0.25,0.06,0.02
1392,94.74,2.55,0.7,0.72,0.36,0.49,0.15,0.18,0.1,0.02
1393,94.7,2.97,0.7,0.37,0.39,0.5,0.1,0.19,0.06,0.02
1394,95.63,1.9,0.71,0.43,0.46,0.48,0.15,0.17,0.05,0.02
1395,93.93,3.02,0.9,0.66,0.53,0.52,0.17,0.19,0.08,0.01
1396,95.46,1.76,0.68,0.57,0.54,0.57,0.16,0.19,0.06,0.02
1397,93.76,3.24,0.76,0.69,0.56,0.53,0.18,0.17,0.1,0.01
1398,94.6,2.48,0.82,0.64,0.5,0.49,0.21,0.19,0.06,0.01
1399,94.37,1.79,0.78,1.9,0.46,0.3,0.2,0.16,0.04,0.01
1400,94.98,1.84,0.85,1.0,0.52,0.34,0.23,0.17,0.05,0.01
1401,93.23,3.95,0.86,0.6,0.5,0.41,0.21,0.17,0.06,0.01
