Year,,Work_Nature,Unable_to_Find,Recession_or_off-season,Personal_Issues,Other,Unwillingness,Illness,Education_or_Training,Lack_of_Resources
1384,89.65,3.58,1.24,2.07,1.46,0.43,0.62,0.49,0.41,0.05
1385,89.92,3.15,1.39,2.01,1.57,0.45,0.67,0.47,0.3,0.07
1386,90.23,3.04,1.3,1.87,1.68,0.46,0.65,0.44,0.28,0.06
1387,90.24,2.91,1.45,1.94,1.5,0.52,0.63,0.47,0.26,0.09
1388,88.33,3.25,2.0,2.36,1.77,0.52,0.71,0.6,0.33,0.13
1389,88.62,2.86,2.19,2.31,1.67,0.74,0.61,0.58,0.27,0.15
1390,89.58,2.7,1.98,2.05,1.53,0.67,0.61,0.47,0.23,0.17
1391,89.35,2.67,1.96,2.1,1.73,0.64,0.67,0.51,0.23,0.13
1392,89.81,2.83,2.0,2.09,1.44,0.47,0.66,0.43,0.17,0.1
1393,89.98,2.85,2.16,1.83,1.43,0.48,0.63,0.4,0.17,0.07
1394,89.58,2.85,2.08,2.11,1.55,0.51,0.67,0.39,0.17,0.09
1395,88.6,2.91,2.19,2.51,1.7,0.67,0.69,0.45,0.17,0.11
1396,88.62,2.75,2.41,2.13,1.9,0.72,0.7,0.48,0.18,0.11
1397,88.34,2.9,2.4,2.29,1.9,0.73,0.67,0.48,0.19,0.11
1398,88.71,2.82,2.37,2.1,1.99,0.64,0.61,0.47,0.19,0.1
1399,89.43,2.45,2.0,1.84,1.67,1.5,0.48,0.38,0.15,0.11
1400,90.12,2.58,2.07,1.86,1.47,0.86,0.45,0.35,0.14,0.1
1401,90.75,2.48,2.04,1.8,1.34,0.55,0.48,0.35,0.13,0.09
