Year,,Other,Personal_Issues,Illness,Complete education,Unsuitable_Age
1384,99.92,0.02,0.03,0.01,0.02,0.0
1385,99.94,0.03,0.01,0.01,0.01,0.0
1386,99.97,0.01,0.01,0.0,0.01,0.0
1387,99.76,0.12,0.05,0.03,0.02,0.01
1388,99.73,0.13,0.06,0.03,0.03,0.02
1389,99.74,0.12,0.05,0.03,0.04,0.03
1390,99.74,0.11,0.05,0.03,0.04,0.02
1391,99.77,0.1,0.04,0.02,0.04,0.02
1392,99.81,0.08,0.05,0.02,0.02,0.01
1393,99.81,0.08,0.06,0.02,0.02,0.01
1394,99.81,0.08,0.06,0.02,0.02,0.01
1395,99.8,0.08,0.06,0.02,0.02,0.02
1396,99.84,0.06,0.05,0.02,0.02,0.01
1397,99.85,0.06,0.05,0.02,0.02,0.01
1398,99.89,0.04,0.03,0.01,0.01,0.01
1399,99.89,0.06,0.02,0.01,0.01,0.01
1400,99.89,0.05,0.02,0.01,0.01,0.01
1401,99.9,0.04,0.02,0.01,0.01,0.01
