Year,Child,Head,Spouse,Grand-Child,Parent,Child-in-Law,Sibling,Other_Family,Spouse_Parent,Non-Family,Spouse_Sibling
1384,51.57,23.43,20.44,0.97,1.15,0.88,1.02,0.37,,0.17,
1385,50.93,24.03,20.75,0.92,1.04,0.93,0.91,0.35,,0.15,
1386,50.31,24.55,21.02,0.91,0.97,0.93,0.82,0.35,,0.14,
1387,49.66,25.1,21.39,0.85,0.88,0.89,0.72,0.23,0.1,0.14,0.04
1388,49.64,25.14,21.43,0.86,0.87,0.9,0.67,0.22,0.09,0.14,0.03
1389,48.96,25.71,21.67,0.88,0.84,0.92,0.56,0.18,0.09,0.14,0.04
1390,48.03,26.49,22.17,0.83,0.76,0.85,0.49,0.16,0.09,0.12,0.03
1391,47.2,26.99,22.44,0.87,0.73,0.9,0.49,0.18,0.08,0.09,0.02
1392,45.07,28.43,24.09,0.57,0.61,0.51,0.4,0.13,0.07,0.08,0.02
1393,44.52,28.99,24.29,0.57,0.52,0.49,0.36,0.12,0.06,0.07,0.02
1394,44.13,29.25,24.37,0.6,0.53,0.5,0.36,0.11,0.06,0.06,0.02
1395,43.87,29.45,24.4,0.65,0.53,0.49,0.35,0.13,0.06,0.06,0.02
1396,43.57,29.65,24.39,0.69,0.54,0.52,0.36,0.14,0.06,0.08,0.02
1397,43.15,29.91,24.71,0.61,0.55,0.42,0.34,0.14,0.06,0.1,0.02
1398,43.05,30.02,24.65,0.67,0.54,0.44,0.35,0.12,0.06,0.08,0.02
1399,43.02,30.16,24.68,0.65,0.53,0.39,0.34,0.12,0.05,0.04,0.01
1400,42.87,30.42,24.69,0.61,0.49,0.37,0.33,0.11,0.05,0.05,0.01
1401,42.44,30.84,24.8,0.62,0.43,0.35,0.32,0.11,0.05,0.04,0.01
