Year,,Following_Household,Other,Ending_Military_Service,Job_Seeking,Seeking_Better_Job,Job_Transfer,Education,Military_Service,Ending_Education,Marrage,Natural_Disaster
1384,98.95,0.48,0.21,,0.1,0.06,0.07,0.06,,,0.07,0.0
1385,98.98,0.44,0.24,,0.09,0.05,0.05,0.07,,,0.06,0.0
1386,99.05,0.37,0.27,,0.07,0.05,0.06,0.07,,,0.07,0.0
1387,99.12,0.38,0.12,0.08,0.07,0.06,0.04,0.07,0.02,0.04,,
1388,99.1,0.4,0.12,0.09,0.09,0.04,0.05,0.06,0.02,0.03,,
1389,98.95,0.43,0.15,0.14,0.1,0.06,0.04,0.06,0.02,0.06,,
1390,99.12,0.36,0.12,0.12,0.08,0.05,0.03,0.06,0.02,0.05,,
1391,99.09,0.4,0.15,0.12,0.06,0.05,0.03,0.04,0.01,0.05,,
1392,99.23,0.4,0.1,0.04,0.06,0.05,0.04,0.04,0.01,0.02,,
1393,99.31,0.33,0.1,0.06,0.06,0.05,0.03,0.03,0.01,0.03,,
1394,99.31,0.34,0.09,0.06,0.06,0.05,0.03,0.03,0.01,0.03,,
1395,99.3,0.33,0.1,0.06,0.07,0.05,0.03,0.03,0.01,0.02,,
1396,99.23,0.36,0.11,0.07,0.07,0.06,0.03,0.02,0.01,0.02,,
1397,99.22,0.4,0.12,0.05,0.08,0.05,0.03,0.03,0.01,0.01,,
1398,99.25,0.37,0.13,0.06,0.06,0.05,0.03,0.02,0.01,0.02,,
1399,99.58,0.18,0.1,0.05,0.03,0.03,0.01,0.01,0.0,0.01,,
1400,99.68,0.15,0.06,0.04,0.03,0.02,0.01,0.01,0.0,0.0,,
1401,99.64,0.19,0.06,0.03,0.03,0.02,0.01,0.01,0.0,0.0,,
