Year,Present,Temporary_Absent,Abroad,Others,
1384,98.24,1.5,0.08,0.16,0.03
1385,98.93,0.93,0.07,0.07,0.0
1386,98.98,0.94,0.05,0.02,0.0
1387,99.15,0.78,0.03,0.05,0.0
1388,98.87,1.07,0.03,0.03,
1389,99.0,0.94,0.03,0.03,
1390,99.12,0.79,0.02,0.07,
1391,99.24,0.72,0.02,0.02,
1392,99.34,0.63,0.02,0.01,0.0
1393,99.44,0.53,0.03,0.0,
1394,99.46,0.51,0.03,0.0,0.0
1395,99.45,0.53,0.02,0.0,
1396,99.39,0.6,0.01,0.0,
1397,99.39,0.58,0.03,0.0,
1398,99.53,0.44,0.02,0.0,
1399,99.78,0.2,0.01,0.0,
1400,99.79,0.19,0.01,0.0,
1401,99.73,0.25,0.01,0.0,
