Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,19158,6194.46,1301.74,111,6121.0,9333
1385,10027,6178.62,1380.7,111,6121.0,9333
1386,7745,6197.2,1406.11,111,6121.0,9333
1387,6216,6164.58,1302.89,0,6121.0,9333
1388,8293,6177.54,1191.45,0,6121.0,9333
1389,7004,6166.06,1267.11,0,6121.0,9333
1390,5764,6181.17,1294.17,111,6121.0,9333
1391,5242,6204.93,1318.39,111,6121.0,9333
1392,5656,6096.08,1474.63,0,6121.0,9333
1393,6121,6142.93,1344.15,0,6112.0,9333
1394,7352,6149.81,1300.36,111,6112.0,9333
1395,7717,6150.35,1276.05,111,6112.0,9333
1396,9222,6184.6,1311.19,510,6112.0,9623
1397,10413,6127.46,1359.82,410,6112.0,9623
1398,10721,6176.6,1296.82,0,6112.0,9623
1399,9036,6204.38,1259.26,0,6112.0,9621
1400,8723,6217.05,1302.78,510,6112.0,9629
1401,7960,6177.57,1289.05,0,6112.0,9614
