Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,19163,1357.52,2429.36,111,124.0,9900
1385,10029,1478.33,2530.45,111,124.0,9600
1386,7746,1554.63,2581.26,111,124.0,9700
1387,6215,1395.93,2483.62,0,124.0,9500
1388,8293,1159.01,2286.11,0,124.0,9500
1389,7004,1281.57,2398.1,0,124.0,9500
1390,5764,1296.32,2403.78,111,124.0,9500
1391,5242,1323.19,2427.58,111,124.0,9900
1392,5656,15527.21,26560.97,0,1440.0,97000
1393,6121,13470.7,25002.49,1110,1411.0,97000
1394,7352,12663.76,24054.23,0,1411.0,97000
1395,7717,13104.04,24494.45,0,1411.0,97000
1396,9222,13057.71,24300.8,0,1411.0,97000
1397,10413,13596.7,25086.65,1110,1411.0,97000
1398,10721,11823.72,23523.46,1110,1411.0,97000
1399,9036,10819.14,22192.78,0,1411.0,97000
1400,8722,11538.63,22880.98,1110,1411.0,99000
1401,7959,12329.11,23329.11,0,1411.0,97000
