Year,,Employed,Student,Homemaker,Other,Income_Without_Work,Retired
1384,95.44,2.47,1.53,0.33,0.19,0.01,0.03
1385,95.71,2.51,1.36,0.24,0.16,0.01,0.02
1386,96.46,1.99,1.17,0.19,0.16,0.01,0.01
1387,96.68,1.83,1.21,0.16,0.12,0.01,0.01
1388,96.56,2.05,1.11,0.15,0.12,0.01,0.01
1389,96.39,2.08,1.23,0.15,0.14,0.01,0.01
1390,96.51,1.97,1.22,0.13,0.16,0.01,0.0
1391,96.58,1.93,1.25,0.11,0.12,0.01,0.01
1392,96.97,1.56,1.15,0.14,0.14,0.02,0.01
1393,96.85,1.67,1.16,0.14,0.15,0.02,0.01
1394,96.61,1.86,1.19,0.15,0.16,0.02,0.0
1395,96.26,2.12,1.24,0.21,0.15,0.02,0.01
1396,96.31,2.1,1.2,0.22,0.14,0.03,0.01
1397,96.32,2.19,1.07,0.21,0.17,0.02,0.01
1398,96.65,1.94,0.98,0.24,0.15,0.02,0.01
1399,96.97,1.88,0.82,0.19,0.11,0.02,0.0
1400,97.18,1.66,0.82,0.19,0.12,0.03,0.01
1401,97.32,1.55,0.79,0.18,0.13,0.02,0.0
