Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,80783,5.61,7.29,0,3.0,70
1385,80604,5.73,7.25,0,3.0,70
1386,79130,6.01,7.38,0,3.0,75
1387,11167,0.92,1.28,0,0.0,5
1388,12532,0.84,1.23,0,0.0,5
1389,12340,0.82,1.23,0,0.0,5
1390,11508,0.8,1.21,0,0.0,5
1391,10910,0.8,1.2,0,0.0,5
1392,10868,0.83,1.21,0,0.0,5
1393,11647,0.77,1.17,0,0.0,5
1394,12921,0.71,1.14,0,0.0,5
1395,14652,0.71,1.11,0,0.0,5
1396,14619,0.74,1.14,0,0.0,5
1397,15417,0.71,1.12,0,0.0,5
1398,13611,0.72,1.12,0,0.0,5
1399,12881,0.6,1.03,0,0.0,5
1400,11184,0.66,1.05,0,0.0,5
1401,10215,0.67,1.1,0,0.0,5
