Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,16715,9.08,10.45,0,4.0,64
1385,16413,8.75,10.02,0,4.0,68
1386,12636,8.65,9.77,0,4.0,60
1387,11103,8.42,9.63,0,4.0,70
1388,12346,8.55,9.57,0,4.0,68
1389,12190,8.94,9.89,0,4.0,60
1390,11443,8.78,9.6,0,5.0,60
1391,10826,8.56,9.54,0,4.0,60
1392,10937,8.82,9.12,0,5.0,65
1393,11793,9.37,9.43,0,5.0,65
1394,13105,9.75,9.74,0,6.0,64
1395,14826,10.16,10.03,0,6.0,60
1396,14680,10.17,9.99,0,6.0,58
1397,15611,10.32,9.95,0,7.0,60
1398,13825,10.05,9.97,0,6.0,55
1399,13195,10.54,9.98,0,7.0,55
1400,11468,10.88,10.16,0,7.0,56
1401,10497,10.98,10.27,0,7.0,65
