Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,16716,1.45,2.78,0,0.0,22
1385,16413,1.21,2.65,0,0.0,57
1386,12636,1.15,2.52,0,0.0,21
1387,11094,1.17,2.5,0,0.0,11
1388,12330,1.15,2.42,0,0.0,11
1389,12182,1.11,2.4,0,0.0,11
1390,11441,1.03,2.34,0,0.0,11
1391,10820,1.11,2.39,0,0.0,11
1392,10872,1.16,2.47,0,0.0,11
1393,11768,1.07,2.37,0,0.0,11
1394,13050,0.96,2.27,0,0.0,11
1395,14771,0.95,2.26,0,0.0,11
1396,14633,0.96,2.31,0,0.0,11
1397,15611,0.9,2.22,0,0.0,11
1398,13825,0.96,2.31,0,0.0,11
1399,13195,0.87,2.19,0,0.0,11
1400,11469,0.71,1.98,0,0.0,11
1401,10497,0.81,2.11,0,0.0,11
