Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205241,0.93,2.28,0,0.0,86
1385,195946,0.8,2.18,0,0.0,90
1386,188875,0.73,1.98,0,0.0,11
1387,174521,0.84,2.12,0,0.0,11
1388,174636,0.75,1.95,0,0.0,11
1389,164855,0.76,2.0,0,0.0,11
1390,160346,0.71,1.93,0,0.0,11
1391,156462,0.69,1.93,0,0.0,11
1392,195427,0.99,2.31,0,0.0,11
1393,193368,1.13,2.44,0,0.0,11
1394,197137,1.09,2.43,0,0.0,11
1395,197287,1.0,2.32,0,0.0,11
1396,202040,0.96,2.28,0,0.0,11
1397,208019,0.86,2.13,0,0.0,11
1398,209031,0.96,2.25,0,0.0,11
1399,195354,0.95,2.24,0,0.0,11
1400,191380,0.92,2.23,0,0.0,11
1401,187509,1.09,2.41,0,0.0,11
