Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,205255,17.47,14.19,0,15.0,83
1385,195948,17.65,13.95,0,15.0,81
1386,188880,17.88,13.89,0,15.0,90
1387,174524,17.9,13.72,0,15.0,85
1388,174639,18.09,14.0,0,15.0,85
1389,164856,18.15,13.82,0,15.0,90
1390,160346,18.24,13.64,0,15.0,82
1391,156462,18.49,13.69,0,16.0,80
1392,195454,17.03,12.59,0,15.0,81
1393,193368,17.58,12.82,0,15.0,80
1394,197157,17.92,12.94,0,15.0,83
1395,197308,18.15,13.0,0,15.0,83
1396,202047,18.37,13.04,0,16.0,82
1397,208019,18.27,12.99,0,15.0,82
1398,209031,18.46,12.96,0,16.0,95
1399,195354,18.82,12.68,0,17.0,85
1400,191380,19.0,12.58,0,17.0,80
1401,187509,18.92,12.58,0,17.0,90
