Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,677268.0,100.58,70.82,17.44,77.49,723.66
1385,655281.0,105.54,74.09,18.09,81.1,682.13
1386,634246.0,110.69,78.67,18.41,84.33,761.33
1387,608213.0,117.14,84.69,17.61,88.81,862.51
1388,602863.0,119.92,261.39,2.84,62.17,8602.2
1389,587282.0,124.88,253.43,2.67,64.43,5731.74
1390,580688.0,128.1,239.9,2.62,68.02,4500.23
1391,560724.0,133.42,248.58,3.09,71.4,6827.16
1392,693770.0,109.12,120.71,5.77,70.39,8231.19
1393,699952.0,109.46,116.37,5.86,70.81,2138.01
1394,701431.0,110.54,122.69,5.68,71.19,4729.55
1395,695690.0,112.77,117.26,5.73,72.85,3047.27
1396,696032.0,114.47,119.57,6.53,73.47,2232.74
1397,709939.0,114.05,117.24,6.93,75.84,1110.85
1398,709288.0,115.56,118.6,5.99,76.77,1210.58
1399,699282.0,118.59,126.33,7.18,77.51,1400.05
1400,689774.0,121.59,130.86,6.69,78.76,1504.75
1401,674459.0,124.02,132.37,6.02,80.53,1568.86
