Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
pkey,0,100.0,integer,119924,9606202865: 34; 9606202854: 34; 9626103572: 32
NobatAmargiri,0,100.0,integer,4,"4: 176,095; 2: 175,722; 3: 174,838"
F2Kol_DJAYGOZIN,0,100.0,integer,2,"2: 663,382; 1: 32,650"
F2Kol_D20,0,100.0,integer,1,"1: 696,032"
F2Kol_D21,696032,-0.0,integer,1,
F2_D01,0,100.0,integer,17,"1: 204,698; 2: 188,690; 3: 145,393"
F2_D03,0,100.0,string,11,"3: 303,250; 1: 206,349; 2: 169,751"
F2_D04,0,100.0,integer,2,"2: 350,191; 1: 345,841"
F2_D05,0,100.0,string,14,"01: 86,034; 06: 85,354; 03: 59,558"
F2_D06,0,100.0,string,102,"65: 13,955; 64: 13,350; 63: 13,010"
F2_D07,0,100.0,string,101,"31: 13,771; 30: 13,348; 32: 13,182"
F2_D08,0,100.0,integer,3,"1: 684,947; 2: 10,428; 3: 657"
F2_D09,0,100.0,integer,4,"1: 691,761; 2: 4,191; 3: 74"
F2_D10,9061,98.69819203714772,integer,3,"2: 655,749; 1: 31,222"
F2_D11,664810,4.485713300537908,integer,7,"1: 25,845; 4: 2,329; 2: 2,027"
F2_D12,690655,0.7725219530136496,string,11,"8: 2,523; 9: 778; 1: 479"
F2_D13,693531,0.35932255988230244,string,33,23: 593; 06: 214; 09: 148
F2_D14,695958,0.010631695094476257,string,7,3: 48; 6: 14; 2: 7
F2_D15,68204,90.20102524021884,integer,3,"2: 473,817; 1: 154,011"
F2_D16,68204,90.20102524021884,integer,3,"1: 526,865; 2: 100,963"
F2_D17,169167,75.69551399935635,integer,10,"11: 191,526; 21: 116,827; 41: 98,766"
F2_D18,491501,29.385286883361683,string,26,"22: 52,360; 52: 35,126; 42: 29,031"
F2_D19,116655,83.23999471288677,integer,5,"1: 361,145; 4: 182,176; 2: 29,815"
F3_D01,116655,83.23999471288677,integer,3,"2: 410,329; 1: 169,048"
F3_D02,285703,58.95260562732748,integer,3,"2: 405,763; 1: 4,566"
F3_D03,290269,58.296601305687105,integer,3,"2: 389,425; 1: 16,338"
F3_D04,306607,55.94929543469266,integer,3,"2: 388,448; 1: 977"
F3_D05,307584,55.808928325134474,integer,3,"2: 386,849; 1: 1,599"
F3_D06,309183,55.57919750816054,integer,3,"2: 377,326; 1: 9,523"
F3_D07,686509,1.368184221415103,string,14,"01: 3,800; 07: 1,676; 03: 1,399"
F3_D08,493982,29.028837754586,integer,3,"2: 192,828; 1: 9,222"
F3_D09,493981,29.028981426141332,string,416,"6121: 19,156; 5224: 17,623; 6111: 16,591"
F3_D10,493981,29.028981426141332,string,432,"41000: 17,109; 01440: 14,841; 01110: 12,514"
F3_D11,493981,29.028981426141332,integer,11,"2: 81,809; 4: 67,267; 5: 29,123"
